ID,HL1,HL2,HL3,HL4,HL5,HL6,HL7,HL8,HL9,HL10,HL11,Market,Region,Location,Location ID,Job Family Group(MW)/Code (SE),Job Sub Family,Gender,Ethnicity,Tenure Bands,Engagement Survey Participant Type,Nursing Satisfaction/Magnet Survey Participant,COE1,COE2,COE3,COE4,Comment: Reason to Stay,Comment: Reason to Leave,Comment: Well-Being at Work,Comment: Well-Being Outside Work,Comment:  Burnout Reason,Comment:  Burnout Improvement,Comment: What is important for us to know?
1,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,Atrium,SE,,,Nursing,,M,W,1,,,4,3,4,3,I stay because the organization truly values patient care.,The workload is overwhelming and stressful.,Providing more opportunities for breaks during shifts would help.,Providing gym memberships would help me stay active.,The workload is too heavy and constant.,Offering flexible work schedules would help manage burnout.,"The patient care standards are excellent, and I feel proud to be part of this team."
2,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,IL,MW,,,Administration,,F,ME,2,,,3,3,4,4,The team culture here is amazing and supportive.,There are limited opportunities for career advancement.,Offering on-site fitness classes can improve physical health.,Offering discounts on wellness programs and activities would be beneficial.,Lack of adequate staffing leads to increased stress.,We need more mental health support resources.,There needs to be more support for continuing education and professional development.
3,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,WI,MW,,,Physician,,U,A,3,,,4,3,4,5,I feel appreciated and recognized for my hard work.,I feel undervalued and unappreciated.,Improving communication between departments is essential.,Encouraging participation in community events can improve well-being.,There is not enough time to take breaks during shifts.,Reducing patient load can significantly reduce stress.,"The workload can be overwhelming at times, which affects my work-life balance."
4,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,N,SE,,,,,M,T,4,,,5,2,5,4,The opportunities for professional growth and development are excellent.,The compensation is not competitive with other organizations.,Creating a quiet space for relaxation during breaks would be beneficial.,Providing access to mental health resources is important.,The high patient-to-staff ratio is overwhelming.,Providing regular breaks during shifts is essential.,I appreciate the collaborative environment and teamwork here.
5,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,F,SE,,,,,F,H,5,,,2,4,4,3,The benefits package is comprehensive and competitive.,The work-life balance is poor.,Providing healthy snacks in the break room can promote better nutrition.,Organizing team outings can help build relationships outside of work.,Inadequate support from management.,Better staffing levels would alleviate workload pressure.,The communication between departments could be improved.
6,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,WI,MW,,,,,U,AA,1,,,1,5,3,5,I appreciate the organization's commitment to work-life balance.,There is a lack of support from management.,Offering flexible work schedules would help manage stress.,Offering flexible work schedules would help manage personal commitments.,Frequent overtime and long hours.,Encouraging a healthy work-life balance is crucial.,I feel that my contributions are valued and recognized.
7,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,Atrium,SE,,,Nursing,,M,W,1,,,3,4,4,3,I have a great relationship with my colleagues and supervisors.,The benefits package is inadequate.,Improving staffing levels to reduce workload is crucial.,Providing financial planning resources can reduce financial stress.,Lack of recognition for hard work.,Implementing mindfulness and stress management programs could help.,The technology and equipment are outdated and need upgrading.
8,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,IL,MW,,,Administration,,F,ME,2,,,3,3,4,4,The organization invests in the latest medical technology and training.,The organizational culture is toxic.,Encouraging open communication with management can address concerns.,Encouraging work-life balance can improve overall well-being.,The job demands are physically exhausting.,Increasing opportunities for professional development can be motivating.,The leadership team is approachable and supportive.
9,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,WI,MW,,,Physician,,U,A,3,,,3,4,4,5,I feel safe and well-supported in my work environment.,There is a lack of transparency from leadership.,Providing mental health support resources at work is important.,Offering on-site fitness classes would be a great addition.,Poor communication within the organization.,Improving communication between staff and management is necessary.,There is a lack of opportunities for career advancement.
10,CEO,EVP,SVP,VP,AVP,DIR,MGR,,,,,N,SE,,,,,M,T,4,,,2,5,5,4,The leadership team is transparent and communicative.,The staffing levels are insufficient.,Implementing regular team-building activities can boost morale.,Providing access to healthy meal plans and recipes can promote better nutrition.,Inconsistent scheduling and lack of flexibility.,Regular team-building activities can boost morale.,I appreciate the organization's commitment to patient safety.
